Year,State,Life Expectancy,Air Quality Index,Binge Drinking,Completed High SchoolPercent,Bachelor's degree or more Percent,Median Income,Health care coverage pct,Physical Activity Percentage,Smoking
2001,Illinois,76.76769906,47.05166724,18.1,86.2,26.7,"46,171",90.1,69.1,22.3
2001,Indiana,76.17734305,49.86666667,16.4,84.4,21.2,"40,379",86.3,74.6,26.9
2001,Iowa,78.56651597,40.20497297,18.1,87.8,23.9,"40,976",91.9,72.7,23.2
2001,Kansas,77.25491563,43.42406767,12.3,87.8,27.9,"41,415",89.9,69.6,21
2001,Kentucky,75.00240064,50.76449447,9.7,79,20.4,"38,437",84.9,58.9,30.5
2001,Louisiana,74.00958566,46.46817349,15.1,81,19.7,"33,322",77.9,63.8,24.1
2001,Maine,77.55745839,34.95178197,14.3,85.4,22.2,"36,612",87.1,72.8,23.8
2001,Maryland,76.24927978,59.39186872,12.7,88.1,35.7,"53,530",89.7,75.8,20.5
2001,Massachusetts,78.15857769,52.65443425,17.5,85.7,32.5,"52,253",92.1,75.4,19.9
2001,Michigan,76.54911797,47.44708078,18.9,86.3,24,"45,047",90.4,77.1,24.1
2001,Minnesota,79.09642859,31.5631068,16,92.6,31.4,"52,681",94.5,75.2,19.8
2001,Mississippi,73.6506407,48.83232281,11.2,81.7,23.3,"30,161",81.3,66.7,23.5
2001,Missouri,76.06512985,47.99361078,16,88.2,25.3,"41,339",89.4,71.2,27.2
2001,Montana,77.14555512,30.18406709,16,90.2,22.8,"32,126",83.1,76.7,18.8
2001,Nebraska,78.18360378,34.07712215,16.5,89.7,25.7,"43,611",86,70.4,21.2
2001,Nevada,75.74327303,45.29351814,20.1,84.9,20.8,"45,403",82.5,75.1,29
2001,New Hampshire,78.09639841,42.30057803,18,89.3,31.6,"51,331",88.5,73.3,25.3
2001,New Jersey,77.32606525,51.38600491,12.7,86.6,30.7,"51,771",88.7,71.4,21
2001,New Mexico,77.02852014,36.51839465,14.8,81.2,22,"33,124",77.5,75.6,23.6
2001,New York,77.64794626,46.28759731,11.7,83.2,28.9,"42,114",83.7,70.6,21.6
2001,North Carolina,75.86333063,55.12413124,10.4,80,23.1,"38,162",85.8,69.6,26.1
2001,North Dakota,78.77786358,28.97518286,19.1,87,24.4,"35,793",88.3,75.7,23.2
2001,Ohio,76.36852863,52.73968434,10.1,88.2,24.1,"41,785",88.9,68.7,26.2
2001,Oklahoma,75.22818242,45.92738666,8.3,85.8,21.1,"35,609",79.2,65.6,23.3
2001,Oregon,77.69895141,34.31925943,14.5,86.6,27.2,"41,273",86.1,79.9,20.7
2001,Pennsylvania,76.77360254,59.04450111,15.3,85.9,25.8,"43,499",90.8,77,24.3
2001,Rhode Island,77.72009512,55.80411125,15.4,78.7,27.4,"45,723",91.4,72.5,23.4
2001,South Carolina,74.97228927,51.28787032,11.5,81.9,23.4,"37,736",83.6,71.9,24.9
2001,South Dakota,77.69219793,32.59156977,18.8,87.7,23.6,"39,671",89.8,73.3,21.9
2001,Tennessee,74.89249069,50.65306721,7.5,78.1,21,"35,783",89.3,67.3,25.7
2001,Texas,76.47051686,49.01149106,17.3,78.4,23.8,"40,860",77.1,71.5,21.9
2001,Utah,78.57560094,48.15379238,9.1,90,27.9,"47,342",87.2,84.5,12.9
2001,Vermont,78.47072616,40.00673725,16.8,86.8,29,"40,794",88.5,76.8,21.5
2001,Virginia,76.89478154,48.09313414,13.6,84.6,30.6,"50,241",89.1,75,21.4
2001,Washington,78.1978517,35.53690616,14.4,89.9,26.9,"42,490",90.3,83.1,20.7
2001,West Virginia,74.98487522,58.31551758,8.5,79.5,15.8,"29,673",80.7,66.4,26.1
2001,Wisconsin,77.96049525,46.31944265,25.2,87,24.9,"45,346",90.2,77.9,24.1
2001,Wyoming,76.87982356,37.94103774,16.4,90.2,19.2,"39,719",83.3,77.4,23.8
2002,Alabama,74.43936091,47.51074987,11.6,78.9,22.7,"37,603",84.9,68.8,23.8
2002,Alaska,77.12137741,28.34171598,18.5,92.2,25.6,"52,774",80.9,78.9,26.2
2002,Arizona,77.39445828,58.22389593,15.2,84.6,26.3,"39,734",83.9,78.1,21.5
2002,Arkansas,74.89697459,43.60488959,10.8,81,18.3,"32,387",81.1,68.5,25.5
2002,California,78.27897727,65.66473738,15.5,80.2,27.9,"47,437",84.6,73.4,17.2
2002,Colorado,78.068992,39.23749676,17,87.6,35.7,"48,294",83.4,80.8,22.3
2002,Connecticut,78.63732859,58.2736014,13.9,88,32.6,"53,387",89.1,76,20.6
2002,Delaware,76.57040426,68.51416122,17.2,88.5,29.5,"49,650",91.2,74.3,25
2002,District of Columbia,72.17155464,58,14.2,83.5,44.4,"39,070",89.3,75.8,20.8
2002,Florida,77.3911363,41.20860333,12.4,83.3,25.7,"38,024",82,72.3,22.4
2002,Georgia,75.26758136,47.8857072,12.1,82.9,25,"42,939",84.3,72.7,23.7
2002,Hawaii,79.58600003,36.86133333,11.9,87.9,26.8,"47,303",91.3,81.1,20.5
2002,Idaho,78.12627955,36.68540564,13.8,86.8,20.9,"37,715",83,79,19.6
2002,Illinois,76.82026689,48.19123641,18,85.9,27.3,"42,710",85.9,73.5,23.7
2002,Indiana,76.32296152,52.55410207,16.2,85.3,23.7,"41,047",85.2,73.8,27.4
2002,Iowa,78.63321449,40.08801611,17.3,88.3,23.1,"41,049",91.2,74.1,22.1
2002,Kansas,77.25306563,41.69771924,13.5,87.5,29.1,"42,619",88.9,73.3,22.2
2002,Kentucky,74.83701402,51.6134851,9.3,80.8,21.6,"36,762",81.8,66.6,30.9
2002,Louisiana,74.01090332,42.47608006,14.1,78.8,22.1,"34,008",75.9,64.4,24.6
2002,Maine,77.36666052,35.08358209,15.2,87.4,23.8,"36,853",85.9,76.8,23.9
2002,Maryland,76.42258831,62.90707497,14,87.5,37.6,"56,407",90.2,75.8,21.1
2002,Massachusetts,78.25057381,51.78644764,17.8,86.5,34.3,"49,855",90.8,77.2,19.5
2002,Michigan,76.51210035,48.06283266,18.4,86.5,22.5,"42,715",88,76.6,25.6
2002,Minnesota,79.11166679,33.45282051,17.8,92.2,30.5,"54,622",93.2,82.9,22.2
2002,Mississippi,73.53814631,45.28143451,11.9,79.1,20.9,"30,882",77.3,66.6,25.3
2002,Missouri,75.93532413,52.33350794,15.3,88.1,26.7,"42,776",86.8,72.5,25.9
